Region,Disposition_Code,Description,Dialer_Dispo,Agent_Dispo,isConnect,isRight_Party_Contact,isCallback,isDo_Not_Call,isExclude,isAbort,isLeft_Message,isDialed,isPromise,IsAbandon,IsResolution,IsContact,IsApprove,IsCancel,IsDecline,IsEmailSent,IsLetterSent,IsOther,IsReferredforOverride,IsSmsSent,IsTransferredCall,IsUnableToDecisionApp,IsCallNotneeded,IsDecisioned,IsBankReferenced,Channel
Domestic,UNK,Unknown - System Applied,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,VRAPPT,VR transferred a right party contact to another IVR application,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRHU,Customer hung up whilst in VR,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRNOTENU,Non Tenured Phone Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRNT,Call completed but the person answering has confirmed that the card member is not available to answer the call.,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRRPF,VR failure on Right Party Prompt,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRRPHU,VR Right Party Identified and hangs up,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRRPPM,Right Party Prompt block played but there was no transfer yet to the CCP(right party hangup after message played),1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRRPT,VR transferred a right party contact to a rep,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRWPF,Generic failure in VXML,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRWPPM,Wrong Party hangup after message played,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
Domestic,VRWPT,VR Wrong Party transferred to CCP,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IVR
